selection	configuration	ori_proportion	k	b	generation	layout_run	N_mean	prop_F1	prop_hybrid	HI_mean	n_internal_reps	kb
sel_O	dispersed	0.25	30	0.03	1000	1	1465.2	0.000587555180881669	0.934002487966549	0.330722569742327	20	k30 b0.03
sel_O	dispersed	0.25	30	0.03	1000	2	1492.9	0.000520676377341409	0.922912997193454	0.316545894002175	20	k30 b0.03
sel_O	dispersed	0.25	30	0.03	1000	3	1498.25	0.00068978293195355	0.946150726669357	0.366693299943474	20	k30 b0.03
sel_O	dispersed	0.25	30	0.03	1000	4	1495.4	0.000928849031873448	0.925393765030666	0.339363111517185	20	k30 b0.03
sel_O	dispersed	0.25	30	0.03	1000	5	1444.8	0.000453986833665673	0.853557360798906	0.295808302121711	20	k30 b0.03
sel_O	dispersed	0.4	30	0.03	1000	1	1494.75	0.00747149920129722	0.985664698381361	0.562547327278063	20	k30 b0.03
sel_O	dispersed	0.4	30	0.03	1000	2	1475.6	0.0125341636278029	0.994816966117973	0.639557001832229	20	k30 b0.03
sel_O	dispersed	0.4	30	0.03	1000	3	1499.75	0.0101283629744786	0.989855082988166	0.570737552709761	20	k30 b0.03
sel_O	dispersed	0.4	30	0.03	1000	4	1454.15	0.00867447921833155	0.993424235069262	0.586787927379213	20	k30 b0.03
sel_O	dispersed	0.4	30	0.03	1000	5	1481.7	0.0104846101847588	0.995801431015278	0.603375642700108	20	k30 b0.03
sel_O	multi_cluster	0.1	30	0.03	1000	1	1492.1	3.40136054421769e-05	0.693022456995849	0.158712212210627	20	k30 b0.03
sel_O	multi_cluster	0.1	30	0.03	1000	2	1591.05	6.32111251580278e-05	0.699445754944018	0.163195974863738	20	k30 b0.03
sel_O	multi_cluster	0.1	30	0.03	1000	3	1482.75	0.000395567731461586	0.676377569857492	0.164686748056213	20	k30 b0.03
sel_O	multi_cluster	0.1	30	0.03	1000	4	1509.55	3.38066260987153e-05	0.718738664779621	0.162273344898343	20	k30 b0.03
sel_O	multi_cluster	0.1	30	0.03	1000	5	1502.4	0	0.734344980027659	0.172025655397945	20	k30 b0.03
sel_O	multi_cluster	0.25	30	0.03	1000	1	1489.6	0.00509775720137152	0.975634456866906	0.471739424947853	20	k30 b0.03
sel_O	multi_cluster	0.25	30	0.03	1000	2	1509.9	0.00349623240075991	0.983885229609113	0.497588153132598	20	k30 b0.03
sel_O	multi_cluster	0.25	30	0.03	1000	3	1481.95	0.00278491110983032	0.958070330625766	0.425503122681788	20	k30 b0.03
sel_O	multi_cluster	0.25	30	0.03	1000	4	1470.45	0.00520721541916394	0.982569954054728	0.505517627252155	20	k30 b0.03
sel_O	multi_cluster	0.25	30	0.03	1000	5	1528.7	0.00531892299005409	0.984621847844373	0.530312423137844	20	k30 b0.03
sel_O	multi_cluster	0.4	30	0.03	1000	1	1438.4	0.0148547942992332	0.997040056138616	0.663025495594158	20	k30 b0.03
sel_O	multi_cluster	0.4	30	0.03	1000	2	1449.65	0.0165725628380101	0.996025244101815	0.676245890482343	20	k30 b0.03
sel_O	multi_cluster	0.4	30	0.03	1000	3	1445.65	0.024806613538611	0.998200860094592	0.745655442927938	20	k30 b0.03
sel_O	multi_cluster	0.4	30	0.03	1000	4	1465.65	0.0155039077490565	0.998917612792885	0.686057612096577	20	k30 b0.03
sel_O	multi_cluster	0.4	30	0.03	1000	5	1494.55	0.0188376051250942	0.998884013318744	0.706834142128536	20	k30 b0.03
sel_O	one_cluster	0.1	30	0.03	1000	1	1517.75	0	0.772391254002619	0.183655329898132	20	k30 b0.03
sel_O	one_cluster	0.1	30	0.03	1000	2	1495.7	0.000371285925628458	0.887182072331323	0.265166603073767	20	k30 b0.03
sel_O	one_cluster	0.1	30	0.03	1000	3	1513.65	0.00017404824777049	0.841697437516994	0.239201361598898	20	k30 b0.03
sel_O	one_cluster	0.1	30	0.03	1000	4	1493	0.00034290606397942	0.877157939086134	0.269944497099689	20	k30 b0.03
sel_O	one_cluster	0.1	30	0.03	1000	5	1499.85	0.000501484103475928	0.878466004508104	0.284525127329613	20	k30 b0.03
sel_O	one_cluster	0.25	30	0.03	1000	1	1495.2	0.00612887060944681	0.990754243287799	0.543918470131467	20	k30 b0.03
